MarketWatch,business,WSJ,TheEconomist,nytimes,MorganStanley
0.0743801652892562,0.12598425196850396,0.0673076923076923,0.09917355371900828,0.1188118811881188,0.25
0.025,0.1217948717948718,0.08247422680412371,0.12371134020618554,0.12087912087912088,0.5714285714285714
0.13513513513513514,0.10606060606060606,0.13807531380753138,0.25272331154684097,0.17297297297297298,0.5
0.037037037037037035,0.1139240506329114,0.1590909090909091,0.18562874251497005,0.1797752808988764,0.5714285714285714
0.14130434782608695,0.08857142857142856,0.2696629213483146,0.15833333333333333,0.07317073170731707,0.0
0.08,0.10743801652892562,0.16483516483516486,0.16923076923076924,0.14772727272727273,0.3333333333333333
0.125,0.101010101010101,0.09375,0.14423076923076922,0.14666666666666667,0.2
0.0970873786407767,0.11214953271028036,0.1843137254901961,0.13043478260869565,0.12442396313364056,0.2
0.14772727272727273,0.14666666666666667,0.1724137931034483,0.12080536912751676,0.23214285714285715,1.0
0.18604651162790692,0.1607717041800643,0.2380952380952381,0.08823529411764706,0.0847457627118644,0.4
0.17,0.09915014164305948,0.2043010752688172,0.10273972602739724,0.20512820512820512,0.0
0.17346938775510204,0.10249307479224376,0.14130434782608695,0.2076923076923077,0.09090909090909093,0.5
0.17,0.09559939301972686,0.13580246913580246,0.10629067245119306,0.08287292817679558,0.2
0.04301075268817205,0.08904109589041095,0.09195402298850576,0.10062893081761007,-0.031746031746031744,0.0
0.10752688172043012,0.14501510574018128,0.13541666666666666,0.020833333333333332,0.08433734939759037,0.6
0.11,0.11285266457680253,0.14285714285714285,0.03773584905660377,0.15584415584415584,0.4
0.15555555555555556,0.115990990990991,0.1848184818481848,0.1087866108786611,0.14601769911504425,0.625
0.15,0.08108108108108109,0.14285714285714285,0.1417910447761194,-0.023809523809523808,0.0
0.06422018348623854,0.09850746268656717,0.053763440860215055,0.14545454545454545,0.13043478260869565,-0.3333333333333333
0.009259259259259259,0.0851063829787234,0.11702127659574467,0.14953271028037382,0.013157894736842105,0.3333333333333333
0.12389380530973453,0.049689440993788817,0.1511627906976744,0.08461538461538462,0.26865671641791045,0.14285714285714285
0.1238095238095238,0.11673699015471167,0.1557377049180328,0.13002364066193853,0.11363636363636365,0
0.12871287128712872,0.12928759894459102,0.14,0.0915032679738562,0.16822429906542055,0.375
0.038461538461538464,0.10552763819095476,0.1720430107526882,0.11607142857142858,0.1188118811881188,0.5
0.10526315789473684,0.1096938775510204,0.07692307692307693,0.15384615384615385,0.05982905982905984,0.6666666666666666
0.03157894736842105,0.060422960725075525,0.052083333333333336,0.05813953488372092,0.10416666666666667,0.6666666666666666
0.11894273127753305,0.09536423841059603,0.12109375,0.16332378223495705,0.13705583756345174,0.25
0.06097560975609756,0.05367231638418079,0.14736842105263154,0.12318840579710146,0.06315789473684211,0.0
0.10091743119266056,0.11918604651162792,0.2183908045977012,0.1796875,0.0707070707070707,0.0
0.1,0.10026385224274406,0.2289156626506024,0.12403100775193796,0.21782178217821785,1.0
0.06481481481481481,0.13690476190476192,0.13333333333333333,0.1507936507936508,0.10377358490566037,0.0
0.12831858407079647,0.09252217997465144,0.1346938775510204,0.0975609756097561,0.14814814814814814,-0.3333333333333333
0.030927835051546393,0.11148648648648647,0.09183673469387756,0.07801418439716312,0.05263157894736842,0.25
